Week,gold: (United States)
15-03-2020,79
22-03-2020,79
29-03-2020,72
05-04-2020,75
12-04-2020,77
19-04-2020,83
26-04-2020,81
03-05-2020,77
10-05-2020,83
17-05-2020,81
24-05-2020,78
31-05-2020,74
07-06-2020,80
14-06-2020,82
21-06-2020,78
28-06-2020,82
05-07-2020,81
12-07-2020,81
19-07-2020,91
26-07-2020,100
02-08-2020,98
09-08-2020,94
16-08-2020,88
23-08-2020,81
30-08-2020,80
06-09-2020,79
13-09-2020,76
20-09-2020,78
27-09-2020,78
04-10-2020,77
11-10-2020,78
18-10-2020,80
25-10-2020,79
01-11-2020,63
08-11-2020,83
15-11-2020,84
22-11-2020,87
29-11-2020,94
06-12-2020,86
13-12-2020,86
20-12-2020,87
27-12-2020,87
03-01-2021,83
10-01-2021,86
17-01-2021,87
24-01-2021,85
31-01-2021,92
07-02-2021,84
14-02-2021,80
21-02-2021,83
28-02-2021,86
